product,cost
agashya_passion_juice,1932
agashya_pineapple_juice,1257
agashya_strawberry_juice,832
agashya_natural_banana_juice,4434
agashya_carrot,4056
akarusho_banana_alcohol_500ml,2915
akarusho_banana_alcohol_330ml,606
diluted_passion_juice,3030
diluted_natural_strawberry_juice,2747
akarusho_grape_wine,3756
akarusho_red_grape_wine,3196
akagufu_coffee_grinded_500g,3800
akagufu_coffee_roasted_beans_500g,4579
akanozo_soya__flour,3499
akanozo_maize_flour,1083
akanozo_wheat_flour,4466
akanozo_sorghum_flour,1957
akanozo_millet_flour,2981
akanozo_composite_flour,3317
dry_cassava_leaves,4301
petit_pain_coupe,1889
grand_pain_coupe,3168
akanoze_composite,3577
urwibutso,2204
akarabo_biscuits,2803
akarabo_wheat_flour_biscuits,2066
akabanga_100ml,4591
akabanga_20ml,2956
akabanga_chili_oil,3118
akandi_5l,4213
akandi_1.5l,4839
akandi_500ml,2333
akandi_300ml,3112
akawe_natural_beauty_ghee,1992
akawe_cheese_gouda,3919
akineza_groundnuts,1919
akawe_cooking_oil,1206
akaryoshye_yoghurt,4350
akawe_milk,1294
confiture_strawberry,3816
ketchup,1960
ketchup_hot,2829
mayonnaise_aka,1322
