name,cost
agashya_passion_juice,2686
agashya_pineapple_juice,3435
agashya_strawberry_juice,1677
agashya_natural_banana_juice,3026
agashya_carrot,4443
akarusho_banana_alcohol_500ml,2991
akarusho_banana_alcohol_330ml,2843
diluted_passion_juice,4944
diluted_natural_strawberry_juice,1694
akarusho_grape_wine,1185
akarusho_red_grape_wine,947
akagufu_coffee_grinded_500g,1382
akagufu_coffee_roasted_beans_500g,4011
akanozo_soya__flour,1134
akanozo_maize_flour,1511
akanozo_wheat_flour,3375
akanozo_sorghum_flour,4319
akanozo_millet_flour,4906
akanozo_composite_flour,3367
dry_cassava_leaves,4201
petit_pain_coupe,1266
grand_pain_coupe,4310
akanoze_composite,2913
urwibutso,1339
akarabo_biscuits,4200
akarabo_wheat_flour_biscuits,3512
akabanga_100ml,1101
akabanga_20ml,4999
akabanga_chili_oil,2966
akandi_5l,3803
akandi_1.5l,1886
akandi_500ml,2436
akandi_300ml,1157
akawe_natural_beauty_ghee,1787
akawe_cheese_gouda,4940
akineza_groundnuts,4447
akawe_cooking_oil,643
akaryoshye_yoghurt,4024
akawe_milk,3264
confiture_strawberry,2076
ketchup,1805
ketchup_hot,2905
mayonnaise_aka,4567
